Id,UpperDepth,LowerDepth,Value,Lambda,tsme
4092,5,15,15.8914674769584,0.1,2.17275849204993
4092,15,30,15.9834139674454,0.1,2.17275849204993
4092,30,60,23.2418113045781,0.1,2.17275849204993
4092,60,100,-9999,0.1,2.17275849204993
4092,100,200,-9999,0.1,2.17275849204993
4093,0,5,13.86328125,0.1,0.00299072265624996
4093,5,15,14.3876953125,0.1,0.00299072265624996
4093,15,30,15.708984375,0.1,0.00299072265624996
4093,30,60,-9999,0.1,0.00299072265624996
4093,60,100,-9999,0.1,0.00299072265624996
4093,100,200,-9999,0.1,0.00299072265624996
4094,0,5,12.5948485918505,0.1,43.0758036562244
4094,5,15,14.4704201968185,0.1,43.0758036562244
4094,15,30,37.1182917976195,0.1,43.0758036562244
4094,30,60,-9999,0.1,43.0758036562244
4094,60,100,-9999,0.1,43.0758036562244
4094,100,200,-9999,0.1,43.0758036562244
4095,0,5,14.6363636363636,0.1,0.0570817169843137
4095,5,15,19.8668831168831,0.1,0.0570817169843137
4095,15,30,30.8831168831169,0.1,0.0570817169843137
4095,30,60,-9999,0.1,0.0570817169843137
4095,60,100,-9999,0.1,0.0570817169843137
4095,100,200,-9999,0.1,0.0570817169843137
4096,0,5,20.0430753350406,0.1,0.0442000507267216
4096,5,15,19.7916464772493,0.1,0.0442000507267216
4096,15,30,19.1613811410678,0.1,0.0442000507267216
4096,30,60,17.69609892887,0.1,0.0442000507267216
4096,60,100,30.2512781012959,0.1,0.0442000507267216
4096,100,200,42.271838357701,0.1,0.0442000507267216
4097,0,5,12.9032642077369,0.1,23.6058643452071
4097,5,15,13.4679068212727,0.1,23.6058643452071
4097,15,30,16.4402259053014,0.1,23.6058643452071
4097,30,60,41.1659779407495,0.1,23.6058643452071
4097,60,100,33.1577878842904,0.1,23.6058643452071
4097,100,200,-9999,0.1,23.6058643452071
4098,0,5,14.0071304121472,0.1,1.51731322371899
4098,5,15,13.9592675206093,0.1,1.51731322371899
4098,15,30,14.0285769707519,0.1,1.51731322371899
4098,30,60,17.7956139737714,0.1,1.51731322371899
4098,60,100,25.8719067133407,0.1,1.51731322371899
4098,100,200,21.3242552295918,0.1,1.51731322371899
4099,0,5,15.8306804583845,0.1,0.545883346750981
4099,5,15,16.8189912610748,0.1,0.545883346750981
4099,15,30,19.3572920772813,0.1,0.545883346750981
4099,30,60,22.6251912797298,0.1,0.545883346750981
4099,60,100,27.2427004539752,0.1,0.545883346750981
4099,100,200,-9999,0.1,0.545883346750981
4371,0,5,56.8097076227971,0.1,0.00866420540248982
4371,5,15,57.7922749935464,0.1,0.00866420540248982
4371,15,30,60.3664041396577,0.1,0.00866420540248982
4371,30,60,63.0569847922842,0.1,0.00866420540248982
4371,60,100,61.53604707278,0.1,0.00866420540248982
4371,100,200,57.7067724542571,0.1,0.00866420540248982
4372,0,5,44.7602615234179,0.1,0.00838573781798759
4372,5,15,45.998141926539,0.1,0.00838573781798759
4372,15,30,49.2090806088068,0.1,0.00838573781798759
4372,30,60,52.0515709722721,0.1,0.00838573781798759
4372,60,100,52.9617427802072,0.1,0.00838573781798759
4372,100,200,52.1818336250413,0.1,0.00838573781798759
4374,0,5,56.1643776045615,0.1,0.00513357275078787
4374,5,15,55.403422659307,0.1,0.00513357275078787
4374,15,30,53.4637562403326,0.1,0.00513357275078787
4374,30,60,52.3145203799427,0.1,0.00513357275078787
4374,60,100,50.0498195564176,0.1,0.00513357275078787
4374,100,200,-9999,0.1,0.00513357275078787
4375,0,5,46.5038175345998,0.1,0.0422540281583806
4375,5,15,49.0658366107526,0.1,0.0422540281583806
4375,15,30,55.4277531188699,0.1,0.0422540281583806
4375,30,60,55.9346111551269,0.1,0.0422540281583806
4375,60,100,55.7122499484878,0.1,0.0422540281583806
4375,100,200,56.008586469681,0.1,0.0422540281583806
4449,0,5,51.9506268814674,0.1,0.00372491237044338
4449,5,15,52.2055630800443,0.1,0.00372491237044338
4449,15,30,52.8426345653113,0.1,0.00372491237044338
4449,30,60,53.0029364004229,0.1,0.00372491237044338
4449,60,100,54.4145150299721,0.1,0.00372491237044338
4449,100,200,54.1981629165959,0.1,0.00372491237044338
4478,0,5,49.2342880617725,0.1,0.0199808252760027
4478,5,15,48.4454971502549,0.1,0.0199808252760027
4478,15,30,46.3806292763768,0.1,0.0199808252760027
4478,30,60,48.7480911474299,0.1,0.0199808252760027
4478,60,100,58.2308923256947,0.1,0.0199808252760027
4478,100,200,-9999,0.1,0.0199808252760027
4479,0,5,38.0207850555004,0.1,0.292370918186295
4479,5,15,42.8933043197719,0.1,0.292370918186295
4479,15,30,45.2672832669174,0.1,0.292370918186295
4479,30,60,45.1422759617147,0.1,0.292370918186295
4479,60,100,50.2286699366547,0.1,0.292370918186295
4479,100,200,-9999,0.1,0.292370918186295
4480,0,5,19.3968669635605,0.1,0.00847048132930265
4480,5,15,19.4100206083947,0.1,0.00847048132930265
4480,15,30,19.3661072493406,0.1,0.00847048132930265
4480,30,60,21.8347897638119,0.1,0.00847048132930265
4480,60,100,28.4824011797478,0.1,0.00847048132930265
4480,100,200,-9999,0.1,0.00847048132930265
4482,0,5,43.2873150355821,0.1,0.109830127267082
4482,5,15,46.1428809867387,0.1,0.109830127267082
4482,15,30,47.779840774588,0.1,0.109830127267082
4482,30,60,44.4179564654423,0.1,0.109830127267082
4482,60,100,52.2232566899415,0.1,0.109830127267082
4482,100,200,-9999,0.1,0.109830127267082
5465,0,5,9.07049088811423,0.1,0.0965506257108473
5465,5,15,13.8699754369859,0.1,0.0965506257108473
5465,15,30,26.0711263010334,0.1,0.0965506257108473
5465,30,60,26.6941213139972,0.1,0.0965506257108473
5465,60,100,-9999,0.1,0.0965506257108473
5465,100,200,-9999,0.1,0.0965506257108473
